,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
8669,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8670,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8671,More Supermarket,3.7,1.3k,3.8k,91,52
8672,Decathlon,3.7,1.3k,4.1k,118,3
8673,Panasonic,4.0,1.3k,4.8k,49,17
8674,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8675,Jakson Group,4.1,1.2k,3.8k,102,19
8676,Dell EMC,3.8,1.2k,8.8k,73,--
8677,OM Logistics,3.9,1.3k,3.6k,90,7
8678,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8679,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8680,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8681,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8682,More Supermarket,3.7,1.3k,3.8k,91,52
8683,Decathlon,3.7,1.3k,4.1k,118,3
8684,Panasonic,4.0,1.3k,4.8k,49,17
8685,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8686,Jakson Group,4.1,1.2k,3.8k,102,19
8687,Dell EMC,3.8,1.2k,8.8k,73,--
8688,Vestas,4.1,1.2k,5.2k,97,13
8689,OM Logistics,3.9,1.3k,3.6k,90,7
8690,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8691,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8692,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8693,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8694,More Supermarket,3.7,1.3k,3.8k,91,52
8695,Decathlon,3.7,1.3k,4.1k,118,3
8696,Panasonic,4.0,1.3k,4.8k,49,17
8697,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8698,Jakson Group,4.1,1.2k,3.8k,102,19
8699,Dell EMC,3.8,1.2k,8.8k,73,--
8700,Vestas,4.1,1.2k,5.2k,97,13
8701,OpenText Technologies,3.4,1.2k,11.6k,194,27
8702,OM Logistics,3.9,1.3k,3.6k,90,7
8703,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8704,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8705,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8706,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8707,More Supermarket,3.7,1.3k,3.8k,91,52
8708,Decathlon,3.7,1.3k,4.1k,118,3
8709,Panasonic,4.0,1.3k,4.8k,49,17
8710,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8711,Jakson Group,4.1,1.2k,3.8k,102,19
8712,Dell EMC,3.8,1.2k,8.8k,73,--
8713,Vestas,4.1,1.2k,5.2k,97,13
8714,OpenText Technologies,3.4,1.2k,11.6k,194,27
8715,Ion Exchange India,3.8,1.2k,5k,94,39
8716,OM Logistics,3.9,1.3k,3.6k,90,7
8717,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8718,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8719,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8720,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8721,More Supermarket,3.7,1.3k,3.8k,91,52
8722,Decathlon,3.7,1.3k,4.1k,118,3
8723,Panasonic,4.0,1.3k,4.8k,49,17
8724,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8725,Jakson Group,4.1,1.2k,3.8k,102,19
8726,Dell EMC,3.8,1.2k,8.8k,73,--
8727,Vestas,4.1,1.2k,5.2k,97,13
8728,OpenText Technologies,3.4,1.2k,11.6k,194,27
8729,Ion Exchange India,3.8,1.2k,5k,94,39
8730,Automotive Manufacturers,3.9,1.2k,5.1k,101,5
8731,OM Logistics,3.9,1.3k,3.6k,90,7
8732,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8733,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8734,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8735,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8736,More Supermarket,3.7,1.3k,3.8k,91,52
8737,Decathlon,3.7,1.3k,4.1k,118,3
8738,Panasonic,4.0,1.3k,4.8k,49,17
8739,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8740,Jakson Group,4.1,1.2k,3.8k,102,19
8741,Dell EMC,3.8,1.2k,8.8k,73,--
8742,Vestas,4.1,1.2k,5.2k,97,13
8743,OpenText Technologies,3.4,1.2k,11.6k,194,27
8744,Ion Exchange India,3.8,1.2k,5k,94,39
8745,Automotive Manufacturers,3.9,1.2k,5.1k,101,5
8746,Viraj Profiles,4.0,1.2k,4.5k,97,9
8747,OM Logistics,3.9,1.3k,3.6k,90,7
8748,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8749,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8750,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8751,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8752,More Supermarket,3.7,1.3k,3.8k,91,52
8753,Decathlon,3.7,1.3k,4.1k,118,3
8754,Panasonic,4.0,1.3k,4.8k,49,17
8755,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8756,Jakson Group,4.1,1.2k,3.8k,102,19
8757,Dell EMC,3.8,1.2k,8.8k,73,--
8758,Vestas,4.1,1.2k,5.2k,97,13
8759,OpenText Technologies,3.4,1.2k,11.6k,194,27
8760,Ion Exchange India,3.8,1.2k,5k,94,39
8761,Automotive Manufacturers,3.9,1.2k,5.1k,101,5
8762,Viraj Profiles,4.0,1.2k,4.5k,97,9
8763,Centre for Development of Advanced Computing,3.7,1.2k,6.7k,124,--
8764,OM Logistics,3.9,1.3k,3.6k,90,7
8765,AGS Transact Technologies,2.8,1.3k,3.9k,43,--
8766,Sigma Electric Manufacturing Corporation,4.0,1.3k,2.9k,78,10
8767,Luminous Power Technologies,4.1,1.3k,3.9k,95,32
8768,Baroda Global Shared Services,3.8,1.3k,2.9k,123,30
8769,More Supermarket,3.7,1.3k,3.8k,91,52
8770,Decathlon,3.7,1.3k,4.1k,118,3
8771,Panasonic,4.0,1.3k,4.8k,49,17
8772,Troikaa Pharmaceuticals,4.1,1.2k,3.7k,113,196
8773,Jakson Group,4.1,1.2k,3.8k,102,19
8774,Dell EMC,3.8,1.2k,8.8k,73,--
